# Constructed from biom file
#OTU ID	sample1	sample2	sample3
4b5eeb300368260019c1fbc7a3c718fc	1.0	10.0	5.0
fe30ff0f71a38a39cf1717ec2be3a2fc	2.0	20.0	10.0
d29fe3c70564fc0f69f2c03e0d1e5561	3.0	30.0	15.0
868528ca947bc57b69ffdf83e6b73bae	4.0	40.0	20.0
154709e160e8cada6bfb21115acc80f5	5.0	50.0	25.0
1d2e5f3444ca750c85302ceee2473331	6.0	60.0	30.0
0305a4993ecf2d8ef4149fdfc7592603	7.0	70.0	35.0
cb2fe0146e2fbcb101050edb996a0ee2	8.0	80.0	40.0
997056ba80681bbbdd5d09aa591eadc0	9.0	90.0	45.0
3c9c437f27aca05f8db167cd080ff1ec	10.0	100.0	50.0
9079bfebcce01d4b5c758067b1208c31	11.0	110.0	55.0
bfbed36e63b69fec4627424163d20118	12.0	120.0	60.0
90d32ffe026535b392c0bad850f213c4	13.0	130.0	65.0
ab4ef4399912b0507d8d1187e874684d	14.0	140.0	70.0
d86ef5d6394f5dbeb945f39aa25e7426	15.0	150.0	75.0
a049763053c277b16c2a318f41eb23b4	16.0	160.0	80.0
699071a4a7ce68918e4cd93a61275ecd	17.0	170.0	85.0
cdd14cce4ec44b3235923652b71e947e	18.0	180.0	90.0
7e598ad34909a3fb8ff1623f1ede11a6	19.0	190.0	95.0
b44621e5c80607cdfacbf7a81e1cbe41	20.0	200.0	100.0
e8e6b7fc969005938de8ac7ffb94f17c	21.0	210.0	105.0
535696cecf56f03d3401d7d6dbe66d7b	22.0	220.0	110.0
